종목별,현재가,전일비,등락률,거래량,거래대금 (백만),시가총액 (억)
삼성전자,"269,500","상승 22,000",+8.89%,"13,112,804","3,458,183","15,755,721"
SK하이닉스,"1,678,000","상승 178,000",+11.87%,"2,623,668","4,323,491","12,257,662"
SK스퀘어,"1,091,000","상승 87,000",+8.67%,"448,285","479,712","1,439,291"
삼성전기,"1,389,000","상승 2,000",+0.14%,"446,555","618,676","1,037,495"
현대차,"420,500","상승 6,500",+1.57%,"218,906","91,418","861,006"
LG에너지솔루션,"361,500","상승 4,000",+1.12%,"128,555","46,611","845,910"
삼성바이오로직스,"1,585,000","상승 41,000",+2.66%,"29,382","46,334","733,712"
한화에어로스페이스,"1,193,000","상승 16,000",+1.36%,"124,542","145,401","615,151"
삼성생명,"298,000","상승 22,000",+7.97%,"279,350","81,845","596,000"
삼성물산,"368,500","상승 21,500",+6.20%,"223,430","81,379","597,588"
KB금융,"162,000","하락 4,400",-2.64%,"487,513","79,062","574,594"
기아,"133,000",보합 0,0.00%,"305,456","40,631","519,249"
HD현대중공업,"476,500","상승 2,500",+0.53%,"71,009","33,859","500,140"
두산에너빌리티,"76,350",상승 150,+0.20%,"684,534","52,311","489,068"
신한지주,"103,100","하락 1,900",-1.81%,"371,666","38,427","484,003"
현대모비스,"511,000","상승 2,000",+0.39%,"111,136","56,343","463,643"
셀트리온,"198,700","상승 4,600",+2.37%,"245,515","48,601","462,210"
SK,"578,000","상승 27,000",+4.90%,"72,548","41,568","419,066"
삼성SDI,"508,000","상승 21,000",+4.31%,"202,276","102,732","409,374"
하나금융지주,"125,800","하락 1,700",-1.33%,"283,878","35,827","345,155"
NAVER,"219,500","상승 11,500",+5.53%,"612,597","133,617","344,566"
LG전자,"202,250",상승 750,+0.37%,"290,890","59,127","329,434"
LS ELECTRIC,"200,000","하락 2,000",-0.99%,"270,243","53,968","300,000"
삼성화재,"620,000","상승 7,000",+1.14%,"24,430","14,972","276,814"
한화오션,"88,800",상승 700,+0.79%,"275,385","24,551","272,095"
고려아연,"1,296,000","상승 151,000",+13.19%,"30,466","38,728","270,514"
HD현대일렉트릭,"743,000","하락 9,000",-1.20%,"42,601","31,711","267,830"
효성중공업,"2,863,000","하락 45,000",-1.55%,"13,467","38,640","266,962"
POSCO홀딩스,"326,000","상승 6,000",+1.88%,"108,197","35,387","258,327"
HD한국조선해양,"364,000","하락 3,000",-0.82%,"43,109","15,796","257,614"
우리금융지주,"32,150","하락 1,350",-4.03%,"985,938","32,021","234,081"
SK이노베이션,"126,950","하락 1,950",-1.51%,"200,765","25,751","214,613"
한미반도체,"223,000","상승 2,000",+0.90%,"343,958","76,613","212,546"
